x,area,qty
655,0.006333333333333333,3.7962000037962e-05
1138,0.02,4.995000004995e-05
568,0.007333333333333333,2.4975000024975e-05
229,0.005,2.997000002997e-05
1101,0.002766666666666667,4.995000004995e-06
899,0.013333333333333334,4.995000004995e-06
377,0.01,5.994000005994e-05
32,0.06,0.0009314676009314676
1152,0.14,4.995000004995e-06
1159,0.006666666666666667,1.4985000014985e-05
679,0.01,1.998000001998e-05
779,0.003,2.4975000024975e-06
735,0.0031666666666666666,5.994000005994e-06
31,0.06666666666666667,0.0007331661007331661
439,0.01,2.4975000024975e-06
22,0.006666666666666667,5.994000005994e-05
171,0.005,0.0004995000004995
711,0.006966666666666667,3.996000003996e-05
410,0.006666666666666667,2.4975000024975e-06
908,0.010666666666666666,4.995000004995e-06
198,0.004666666666666667,2.4975000024975e-06
1158,0.008333333333333333,9.99000000999e-06
120,0.003833333333333333,1.123875001123875e-05
640,0.006333333333333333,5.4945000054945e-05
583,0.006666666666666667,3.996000003996e-05
764,0.0066166666666666665,8.4915000084915e-07
258,0.5,0.0004995000004995
4,0.004,9.99000000999e-06
236,0.007333333333333333,4.995000004995e-05
1093,0.006666666666666667,4.995000004995e-05
336,0.008333333333333333,4.995000004995e-05
384,0.011666666666666667,4.995000004995e-06
103,0.008,4.995000004995e-05
1108,0.03333333333333333,7.4925000074925e-06
1029,0.008,1.998000001998e-05
332,0.006666666666666667,0.00015984000015984
1100,0.006666666666666667,1.24875000124875e-05
600,0.007333333333333333,4.995000004995e-05
692,0.006123333333333333,1.24875000124875e-05
467,0.006666666666666667,2.4975000024975e-06
366,0.12366666666666666,0.00014985000014985
18,0.010666666666666666,4.995000004995e-07
8,0.3333333333333333,0.0004995000004995
346,0.010333333333333333,3.996000003996e-05
867,0.010333333333333333,5.4945000054945e-06
1056,0.006666666666666667,4.995000004995e-06
379,0.006666666666666667,3.996000003996e-05
871,0.008366666666666666,4.995000004995e-05
758,0.010666666666666666,1.4985000014985e-05
316,0.4,0.00374625000374625
220,0.006666666666666667,7.4925000074925e-06
209,0.007333333333333333,4.995000004995e-05
468,0.005833333333333334,2.4975000024975e-06
622,0.010666666666666666,8.3916000083916e-05
407,0.012666666666666666,2.4975000024975e-05
49,0.005,0.00017982000017982
680,0.0085,5.994000005994e-06
64,0.006666666666666667,9.99000000999e-05
174,0.009,5.994000005994e-06
92,0.005,0.00054945000054945
60,0.06666666666666667,0.0007992000007992
461,0.01,8.74125000874125e-06
399,0.008666666666666666,4.995000004995e-05
313,0.005666666666666667,9.99000000999e-07
820,0.008333333333333333,4.995000004995e-05
664,0.01,8.4915000084915e-05
1089,0.005,1.998000001998e-06
276,0.008,3.996000003996e-05
117,0.006666666666666667,0.0010989000010989
514,0.01,1.4985000014985e-05
