;SUM(ed.qty)
840;0.0002830188679245283
639;0.0012075471698113208
1095;9.433962264150943e-05
993;0.0011320754716981133
642;0.00018867924528301886
1176;0.0002830188679245283
573;0.0004716981132075472
308;0.001358490566037736
953;0.0018867924528301887
732;0.002830188679245283
850;0.00020754716981132075
512;9.433962264150943e-05
65;0.0011320754716981133
1016;0.0002830188679245283
297;0.0012075471698113208
58;0.05660377358490566
676;0.0010566037735849057
477;3.7735849056603776e-05
1104;0.0003773584905660377
122;0.002169811320754717
430;0.00018867924528301886
100;0.0037735849056603774
618;0.012830188679245283
897;0.0016981132075471698
619;0.00018867924528301886
759;0.0018867924528301887
1049;0.03773584905660377
567;0.0002830188679245283
687;1.8867924528301887e-06
763;0.09245283018867924
668;0.00018867924528301886
564;0.00015660377358490567
378;0.0003773584905660377
426;0.07824905660377358
620;0.005471698113207547
955;0.00018867924528301886
879;0.0018867924528301887
446;0.00018867924528301886
246;0.0012075471698113208
1034;0.00018867924528301886
615;0.00024528301886792453
99;0.006226415094339623
434;9.433962264150943e-05
502;1.8867924528301888e-05
1102;0.00029245283018867926
55;0.004528301886792453
135;0.16981132075471697
575;9.433962264150943e-05
1161;0.0009433962264150943
548;0.005660377358490566
1027;0.00018867924528301886
501;0.000339622641509434
66;0.011320754716981131
832;0.0015094339622641509
436;0.007547169811320755
516;9.433962264150943e-05
482;9.433962264150943e-05
1075;0.000169811320754717
634;3.39622641509434e-05
883;0.00032641509433962263
113;0.03773584905660377
648;0.026415094339622643
1134;9.433962264150943e-05
420;0.0005660377358490566
526;0.0004716981132075472
1092;0.0010792452830188678
394;0.18867924528301888
292;0.0018867924528301887
978;0.0003773584905660377
451;0.0018867924528301887
981;9.433962264150943e-05
1048;9.433962264150943e-05
991;0.0009056603773584906
70;0.03773584905660377
311;0.05660377358490566
245;0.0015094339622641509
156;0.03773584905660377
938;0.0004716981132075472
940;0.0015094339622641509
119;0.00018867924528301886
435;0.0015094339622641509
887;0.0011075471698113208
715;9.433962264150943e-05
124;0.03962264150943396
769;0.0008981132075471699
745;0.0016471698113207547
265;0.0009433962264150943
46;0.013584905660377358
494;0.00018867924528301886
988;0.0011320754716981133
783;0.004226415094339623
975;3.39622641509434e-05
933;9.433962264150943e-05
934;0.0018867924528301887
244;0.009433962264150943
658;0.0018566037735849056
488;9.433962264150943e-05
504;3.7735849056603776e-05
557;0.0002830188679245283
