"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"1127";NULL;"Cochin";"0";"0.00";NULL;NULL;NULL;"21.00"
"1128";NULL;"Thrissur";"2500";"0.00";NULL;NULL;NULL;"286.00"
"1129";NULL;"vette_road";"2000";"0.00";NULL;NULL;NULL;"350.00"
"1131";NULL;"CAlicut";"2500";"0.00";NULL;NULL;NULL;"5.00"
"1132";NULL;"Trivandrum_";"2500";"0.00";NULL;NULL;NULL;"699.00"
"1134";NULL;"tvm";"2500";"0.00";NULL;NULL;NULL;"79.00"
"1135";NULL;"Trivandrum_";"2500";"0.00";NULL;NULL;NULL;"309.00"
"1137";NULL;"valiyavila__elipode";"2000";"0.00";NULL;NULL;NULL;"200.00"
"1138";NULL;"Thrissur";"2500";"0.00";NULL;NULL;NULL;"301.00"
"1139";NULL;"ulllor";"2000";"0.00";NULL;NULL;NULL;"165.00"
"1140";"695582";"Kazhakuttam_";"100";"0.00";NULL;NULL;NULL;"18.00"
"1140";"695582";"Kazhakuttam_";"100";"0.00";NULL;"123";"Tiles_-_Vitrified";"1.00"
"1141";NULL;"kollam";"2000";"0.00";NULL;NULL;NULL;"100.00"
"1142";NULL;"Kochi";"0";"0.00";NULL;NULL;NULL;"10.00"
"1143";NULL;"Kaloor";"0";"0.00";NULL;NULL;NULL;"10.00"
"1144";NULL;"Trivandrum";"0";"0.00";NULL;NULL;NULL;"0.00"
"1145";NULL;"Trivandrum";"0";"0.00";NULL;NULL;NULL;"1150.00"
"1146";NULL;"Trivandrum";"0";"0.00";NULL;NULL;NULL;"1150.00"
"1147";NULL;"Trivandrum";"0";"0.00";NULL;NULL;NULL;"5.00"
"1148";NULL;"kattayikonam_and_edavakod";"2000";"0.00";NULL;NULL;NULL;"200.00"
