pincode,area,subcat_name,SUM(ed.qty)
695017,2500,Boxes,8
695017,2500,,78
695013,30000,CoarseAggregatesandBoulders,500
695013,30000,Cement,3000
695013,30000,Steel,5000
695013,30000,SandandFineAggregates,500
NULL,2000,PipeFittings,17
NULL,2000,ElectricalConduitFittings,152
NULL,2000,OtherBathroomFittings,18
NULL,2000,PVCandOtherPipes,130
NULL,2000,ElectricalConduits,101
NULL,2000,Showers,8
695006,1500,,4
690509,2300,CoarseAggregatesandBoulders,250
670307,2500,,10053
682020,10000,SandandFineAggregates,9000
682020,10000,CladdingTiles,1000
682020,10000,CoarseAggregatesandBoulders,5000
682020,10000,KitchenSinks,2
682020,10000,WashBasinsandPedestals,6
682020,10000,KitchenTaps,2
682020,10000,Cement,1500
682020,10000,Tiles-Vitrified,10000
682020,10000,ElectricalWiresandcables,25
682020,10000,Steel,23000
682020,10000,WallTiles,5000
NULL,1500,,56
NULL,1500,CoverPlatesandMountingFrames,7
NULL,5000,ElectricalConduitFittings,76
NULL,5000,ElectricalWiresandcables,26
NULL,5000,CoverPlatesandMountingFrames,101
NULL,5000,OtherBathroomFittings,7
NULL,5000,Switchgear,69
NULL,5000,PVCandOtherPipes,12
NULL,5000,,3590
686610,2500,CoverPlatesandMountingFrames,63
686610,2500,ElectricalWiresandcables,37
686610,2500,Switchgear,20
686610,2500,,762
695582,5000,ExteriorPaintsandDistempers,29
695582,5000,CoverPlatesandMountingFrames,101
695582,5000,InteriorPaintsandDistempers,13
695582,5000,OtherBathroomFittings,7
695582,5000,Switchgear,69
695582,5000,PVCandOtherPipes,20
695582,5000,,4012
695582,5000,PipeFittings,17
695582,5000,ElectricalConduitFittings,76
695582,5000,ElectricalWiresandcables,26
695582,1000,PVCandOtherPipes,20
695582,1000,,3610
695582,1000,PipeFittings,17
695582,1000,ElectricalConduitFittings,76
695582,1000,Faucets,150
695582,1000,ElectricalWiresandcables,26
695582,1000,CoverPlatesandMountingFrames,101
695582,1000,OtherBathroomFittings,7
695582,1000,Switchgear,69
NULL,2500,Faucets,9
686610,2500,Showers,9
686610,2500,OtherBathroomFittings,6
686610,2500,KitchenTaps,3
686610,2500,Faucets,9
695582,2700,Hob,2
695582,2700,KitchenSinks,1
695582,2700,RoofingSheets,10
695582,2700,KitchenTaps,1
695582,2700,PipeFittings,910
695582,2700,Tiles-Vitrified,30
695582,2700,Fans,5
695582,2700,Tiles-Outdoor,12
695582,2700,Lamps,15
695003,2500,Switchgear,2600
695003,2500,,3874
695003,2500,Boxes,3822
695003,2500,CoverPlatesandMountingFrames,5772
695582,830,WallTiles,6305
695582,830,Tiles-Ceramic,50
695582,830,Steel,1600
695582,830,Pumps,1
695582,830,Tiles-Vitrified,620
695582,830,,1
695582,830,,1
673001,2500,PVCandOtherPipes,52
673001,2500,PipeFittings,132
673001,2500,NULL,79
695607,2500,,60
695001,20000,Tiles-Vitrified,13100
695001,20000,Steel,10000
695014,3000,Cement,5000
695014,3000,Steel,2000
695014,3000,SandandFineAggregates,4000
695014,3000,CoarseAggregatesandBoulders,1000
695584,1200,PVCandOtherPipes,6
695584,1200,ElectricalWiresandcables,1
695003,2500,NULL,28158
673001,2500,,60
695584,2500,Boxes,58
695014,30000,CoarseAggregatesandBoulders,1000
695014,30000,Cement,800
695014,30000,Steel,300
695014,30000,SandandFineAggregates,2000
695607,2500,NULL,60
682304,2500,,1
682304,2500,,6
